2020-02-11/21:38:55		Column Length Validation Started!!
2021-06-10/21:00:11		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112109.csv
2021-06-10/21:00:11		Column Length Validation Completed!!
2021-06-11/18:56:09		Column Length Validation Started!!
2021-06-11/18:56:10		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062111000.csv
2021-06-11/18:56:10		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112025.csv
2021-06-11/18:56:10		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112042.csv
2021-06-11/18:56:10		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112109.csv
2021-06-11/18:56:10		Column Length Validation Completed!!
2021-06-11/20:50:40		Column Length Validation Started!!
2021-06-11/20:50:40		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062111000.csv
2021-06-11/20:50:40		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112025.csv
2021-06-11/20:50:40		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112042.csv
2021-06-11/20:50:40		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112109.csv
2021-06-11/20:50:40		Column Length Validation Completed!!
2021-06-11/22:07:05		Column Length Validation Started!!
2021-06-11/22:07:05		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062111000.csv
2021-06-11/22:07:06		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112025.csv
2021-06-11/22:07:06		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112042.csv
2021-06-11/22:07:06		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062112109.csv
2021-06-11/22:07:06		Column Length Validation Completed!!
2021-06-11/22:48:42		Column Length Validation Started!!
2021-06-11/22:48:42		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062111000.csv
2021-06-11/22:48:42		Column Length Validation Completed!!
2021-06-12/00:30:08		Column Length Validation Started!!
2021-06-12/00:30:11		Invalid Column Length for the file!! File moved to Bad Raw Folder :: hypothyroid_0211198_0102062111000.csv
2021-06-12/00:30:11		Column Length Validation Completed!!
